Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Jonathan Duhart,Old Dominion,CUSA,12,74,1045,14.1,9,0,0,,0,74,1045,14.1,9
Tyre Brady,Marshall,CUSA,13,71,1002,14.1,9,1,14,14.0,0,72,1016,14.1,9
Andre Williams,Akron,MAC,11,46,649,14.1,6,1,4,4.0,0,47,653,13.9,6
Aaron Cephus,Rice,CUSA,11,40,565,14.1,5,0,0,,0,40,565,14.1,5
Taj Harris,Syracuse,ACC,11,40,565,14.1,3,0,0,,0,40,565,14.1,3
Tre Nixon,UCF,American,11,40,562,14.1,4,0,0,,0,40,562,14.1,4
Cornelius McCoy,Georgia State,Sun Belt,12,35,495,14.1,1,0,0,,0,35,495,14.1,1
KaVontae Turpin,Texas Christian,Big 12,7,29,410,14.1,3,4,32,8.0,0,33,442,13.4,3
Trevon Wesco,West Virginia,Big 12,10,26,366,14.1,1,1,3,3.0,0,27,369,13.7,1
Juwan Johnson,Penn State,Big Ten,8,25,352,14.1,1,0,0,,0,25,352,14.1,1
Preston Williams,Colorado State,MWC,12,96,1345,14.0,14,4,13,3.3,0,100,1358,13.6,14
Jamarius Way,South Alabama,Sun Belt,12,61,855,14.0,8,1,1,1.0,0,62,856,13.8,8
Kahlil Lewis,Cincinnati,American,13,56,782,14.0,9,1,11,11.0,1,57,793,13.9,10
Jack Sorenson,Miami (OH),MAC,12,53,742,14.0,2,0,0,,0,53,742,14.0,2
Nick Westbrook,Indiana,Big Ten,12,42,590,14.0,4,0,0,,0,42,590,14.0,4
Keylon Stokes,Tulsa,American,12,41,575,14.0,2,15,104,6.9,2,56,679,12.1,4
Andrew Meyer,Ohio,MAC,11,36,505,14.0,5,0,0,,0,36,505,14.0,5
Collin Lisa,UAB,CUSA,13,33,462,14.0,1,0,0,,0,33,462,14.0,1
Trevon Grimes,Florida,SEC,12,26,364,14.0,2,0,0,,0,26,364,14.0,2
Camron Buckley,Texas A&M,SEC,13,34,474,13.9,1,0,0,,0,34,474,13.9,1
Trey Hartley,San Jose State,MWC,11,32,446,13.9,3,1,-10,-10.0,0,33,436,13.2,3
Cameron Odom,Ohio,MAC,12,30,418,13.9,2,0,0,,0,30,418,13.9,2
Nyqwan Murray,Florida State,ACC,12,54,744,13.8,3,5,4,0.8,0,59,748,12.7,3
Rashod Bateman,Minnesota,Big Ten,13,51,704,13.8,6,0,0,,0,51,704,13.8,6
Nykeim Johnson,Syracuse,ACC,12,41,565,13.8,4,4,9,2.3,0,45,574,12.8,4
