Player,School,Conf,G,Rush Att,Rush Yds,Rush Avg,Rush TD,Pass Rec,Pass Yds,Pass Avg,Pass TD,Plays,Yds,Avg,TD
Mitch Trubisky,North Carolina,ACC,13,93,308,3.3,5,1,8,8.0,0,94,316,3.4,5
Duke Carter IV,Louisiana-Monroe,Sun Belt,11,85,281,3.3,1,9,89,9.9,0,94,370,3.9,1
Tyler Stehling,Rice,CUSA,11,101,309,3.1,4,1,27,27.0,1,102,336,3.3,5
Ryan Higgins,Louisiana Tech,CUSA,13,88,277,3.1,4,0,0,,0,88,277,3.1,4
Sefo Liufau,Colorado,Pac-12,12,165,494,3.0,8,1,14,14.0,0,166,508,3.1,8
Jason Driskel,Florida Atlantic,CUSA,12,80,242,3.0,4,0,0,,0,80,242,3.0,4
Jon Hilliman,Boston College,ACC,12,184,542,2.9,6,1,2,2.0,0,185,544,2.9,6
Nate Romine,Air Force,MWC,8,95,279,2.9,3,0,0,,0,95,279,2.9,3
Dalton Sturm,UTSA,CUSA,13,110,313,2.8,4,1,0,0.0,0,111,313,2.8,4
Tyler Rogers,New Mexico State,Sun Belt,11,124,333,2.7,4,1,9,9.0,1,125,342,2.7,5
Dallas Davis,South Alabama,Sun Belt,11,91,245,2.7,3,0,0,,0,91,245,2.7,3
Greg Ward Jr.,Houston,American,12,197,518,2.6,10,0,-6,,0,197,512,2.6,10
Patrick Towles,Boston College,ACC,13,115,294,2.6,4,2,25,12.5,1,117,319,2.7,5
Trace McSorley,Penn State,Big Ten,14,146,365,2.5,7,0,0,,0,146,365,2.5,7
Anthony Jennings,Louisiana,Sun Belt,13,144,341,2.4,9,0,0,,0,144,341,2.4,9
Kenny Potter,San Jose State,MWC,11,136,322,2.4,7,0,0,,0,136,322,2.4,7
Gus Ragland,Miami (OH),MAC,7,84,202,2.4,2,0,0,,0,84,202,2.4,2
Bryant Shirreffs,Connecticut,American,9,144,326,2.3,2,0,0,,0,144,326,2.3,2
Eric Dungey,Syracuse,ACC,9,125,293,2.3,6,0,0,,0,125,293,2.3,6
Patrick Mahomes,Texas Tech,Big 12,12,131,285,2.2,12,0,0,,0,131,285,2.2,12
Troy Williams,Utah,Pac-12,13,111,235,2.1,5,0,0,,0,111,235,2.1,5
Manny Wilkins,Arizona State,Pac-12,10,128,246,1.9,5,0,0,,0,128,246,1.9,5
Matt Linehan,Idaho,Sun Belt,13,88,167,1.9,4,0,0,,0,88,167,1.9,4
Glen Cuiellette,Tulane,American,12,120,216,1.8,1,0,0,,0,120,216,1.8,1
Deondre Francois,Florida State,ACC,13,108,198,1.8,5,0,0,,0,108,198,1.8,5
Shane Buechele,Texas,Big 12,12,96,161,1.7,2,0,0,,0,96,161,1.7,2
McKenzie Milton,UCF,American,10,100,158,1.6,3,1,-1,-1.0,0,101,157,1.6,3
Chason Virgil,Fresno State,MWC,10,77,122,1.6,2,1,9,9.0,0,78,131,1.7,2
Mason Fine,North Texas,CUSA,10,94,118,1.3,2,0,0,,0,94,118,1.3,2
Clayton Thorson,Northwestern,Big Ten,13,97,98,1.0,5,0,0,,0,97,98,1.0,5
Perry Hills,Maryland,Big Ten,11,91,93,1.0,4,1,21,21.0,0,92,114,1.2,4
Mason Rudolph,Oklahoma State,Big 12,13,83,61,0.7,6,1,24,24.0,0,84,85,1.0,6
David Blough,Purdue,Big Ten,12,80,13,0.2,4,1,8,8.0,0,81,21,0.3,4
Tyler Jones,Texas State,Sun Belt,11,115,-8,-0.1,5,1,22,22.0,1,116,14,0.1,6
C.J. Beathard,Iowa,Big Ten,13,83,-13,-0.2,2,0,0,,0,83,-13,-0.2,2
