Player,School,Conf,G,Pass Rec,Pass Yds,Pass Avg,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Yds,Avg,TD
Tyler Conklin,Central Michigan,MAC,8,35,504,14.4,5,0,0,,0,35,504,14.4,5
Austin Wolf,Akron,MAC,10,33,476,14.4,5,0,0,,0,33,476,14.4,5
Sam Martin,Miami (OH),MAC,10,25,359,14.4,3,0,0,,0,25,359,14.4,3
Ben Skowronek,Northwestern,Big Ten,13,45,644,14.3,5,0,0,,0,45,644,14.3,5
Hergy Mayala,Connecticut,American,9,43,615,14.3,7,0,0,,0,43,615,14.3,7
Albert Okwuegbunam,Missouri,SEC,9,29,415,14.3,11,0,0,,0,29,415,14.3,11
Micah Simon,Brigham Young,Ind,12,27,386,14.3,3,0,0,,0,27,386,14.3,3
Michael Gallup,Colorado State,MWC,13,100,1418,14.2,7,0,0,,0,100,1418,14.2,7
Jaleel Scott,New Mexico State,Sun Belt,12,76,1079,14.2,9,0,0,,0,76,1079,14.2,9
Steven Sims Jr.,Kansas,Big 12,11,59,839,14.2,6,5,5,1.0,0,64,844,13.2,6
Tyler Vaughns,USC,Pac-12,13,57,809,14.2,5,0,0,,0,57,809,14.2,5
Collin Johnson,Texas,Big 12,13,54,765,14.2,2,0,-7,,0,54,758,14.0,2
John Ursua,Hawaii,MWC,6,47,667,14.2,5,0,0,,0,47,667,14.2,5
Trey Hartley,San Jose State,MWC,12,37,527,14.2,2,0,0,,0,37,527,14.2,2
Tommy Sweeney,Boston College,ACC,12,36,512,14.2,4,0,0,,0,36,512,14.2,4
Steven Dunbar,Houston,American,12,76,1070,14.1,3,0,0,,0,76,1070,14.1,3
Kanawai Noa,California,Pac-12,11,56,788,14.1,4,0,0,,0,56,788,14.1,4
Felton Davis III,Michigan State,Big Ten,11,55,776,14.1,9,1,16,16.0,0,56,792,14.1,9
Brendan Cope,Ohio,MAC,10,35,494,14.1,4,1,-2,-2.0,0,36,492,13.7,4
K.J. Osborn,Buffalo,MAC,12,35,493,14.1,4,4,22,5.5,1,39,515,13.2,5
Shi Smith,South Carolina,SEC,12,29,409,14.1,3,0,0,,0,29,409,14.1,3
Jay MacIntyre,Colorado,Pac-12,10,28,396,14.1,2,1,1,1.0,0,29,397,13.7,2
Darren Carrington,Utah,Pac-12,12,70,980,14.0,6,0,0,,0,70,980,14.0,6
Micah Holder,San Diego State,MWC,11,43,602,14.0,2,3,30,10.0,0,46,632,13.7,2
Cody White,Michigan State,Big Ten,11,35,490,14.0,4,4,19,4.8,0,39,509,13.1,4
Jimmy Williams,East Carolina,American,9,32,447,14.0,3,1,2,2.0,0,33,449,13.6,3
CJ Windham,Middle Tennessee State,CUSA,12,25,351,14.0,1,0,0,,0,25,351,14.0,1
Brycen Hopkins,Purdue,Big Ten,11,25,349,14.0,3,0,0,,0,25,349,14.0,3
Evan Fairs,Kansas,Big 12,9,24,335,14.0,1,0,0,,0,24,335,14.0,1
N'Keal Harry,Arizona State,Pac-12,13,82,1142,13.9,8,13,65,5.0,0,95,1207,12.7,8
Brian Williams,Louisiana-Monroe,Sun Belt,11,45,626,13.9,4,1,2,2.0,1,46,628,13.7,5
Teo Redding,Bowling Green State,MAC,11,45,624,13.9,8,0,0,,0,45,624,13.9,8
Sam Harris,South Alabama,Sun Belt,11,41,570,13.9,2,0,0,,0,41,570,13.9,2
Macan Wilson,Northwestern,Big Ten,11,32,446,13.9,1,0,0,,0,32,446,13.9,1
Chase Claypool,Notre Dame,Ind,11,29,402,13.9,2,2,-3,-1.5,0,31,399,12.9,2
Demornay Pierson-El,Nebraska,Big Ten,12,45,623,13.8,5,4,32,8.0,0,49,655,13.4,5
Andrew Meyer,Ohio,MAC,12,35,483,13.8,2,1,-1,-1.0,0,36,482,13.4,2
Omar Bayless,Arkansas State,Sun Belt,11,31,428,13.8,6,2,-3,-1.5,0,33,425,12.9,6
Chris Murray,Arkansas State,Sun Belt,12,51,701,13.7,9,3,3,1.0,0,54,704,13.0,9
Auden Tate,Florida State,ACC,12,40,548,13.7,10,0,0,,0,40,548,13.7,10
JaQuan Blackwell,San Jose State,MWC,11,32,437,13.7,2,0,0,,0,32,437,13.7,2
Matt Vandeberg,Iowa,Big Ten,13,28,384,13.7,2,0,0,,0,28,384,13.7,2
Tavin Richardson,Kentucky,SEC,12,27,371,13.7,1,0,0,,0,27,371,13.7,1
Mathew Sexton,Eastern Michigan,MAC,12,26,357,13.7,2,0,0,,0,26,357,13.7,2
Cam Phillips,Virginia Tech,ACC,12,71,964,13.6,7,1,10,10.0,0,72,974,13.5,7
Wyatt Demps,Nevada,MWC,12,67,908,13.6,11,0,0,,0,67,908,13.6,11
McLane Mannix,Nevada,MWC,12,57,778,13.6,6,2,3,1.5,0,59,781,13.2,6
Greg Dortch,Wake Forest,ACC,8,53,722,13.6,9,7,9,1.3,0,60,731,12.2,9
Noah Togiai,Oregon State,Pac-12,9,34,461,13.6,2,0,0,,0,34,461,13.6,2
Jay Griffin IV,New Mexico,MWC,12,29,393,13.6,4,13,116,8.9,1,42,509,12.1,5
John Niupalau,Eastern Michigan,MAC,9,27,368,13.6,4,0,0,,0,27,368,13.6,4
Ky'Jon Tyler,Coastal Carolina,Sun Belt,11,23,313,13.6,2,11,73,6.6,0,34,386,11.4,2
Shay Fields,Colorado,Pac-12,12,46,623,13.5,4,0,0,,0,46,623,13.5,4
Renard Bell,Washington State,Pac-12,13,40,538,13.5,3,0,0,,0,40,538,13.5,3
Workpeh Kofa,Charlotte,CUSA,9,25,338,13.5,1,2,3,1.5,0,27,341,12.6,1
Taysir Mack,Indiana,Big Ten,6,23,310,13.5,3,0,0,,0,23,310,13.5,3
Alfonso Onunwor,Idaho,Sun Belt,11,64,856,13.4,8,0,0,,0,64,856,13.4,8
Thomas Geddis,Cincinnati,American,11,29,388,13.4,3,0,0,,0,29,388,13.4,3
Dawson Knox,Ole Miss,SEC,8,24,321,13.4,0,0,0,,0,24,321,13.4,0
Allen Lazard,Iowa State,Big 12,13,71,941,13.3,10,0,0,,0,71,941,13.3,10
Shun Brown,Arizona,Pac-12,13,43,573,13.3,6,5,51,10.2,0,48,624,13.0,6
Josh Stewart,UTSA,CUSA,11,39,518,13.3,3,0,0,,0,39,518,13.3,3
Collin Lisa,UAB,CUSA,12,33,439,13.3,1,1,0,0.0,0,34,439,12.9,1
Chris Taylor,Duke,ACC,11,25,332,13.3,1,0,0,,0,25,332,13.3,1
KeeSean Johnson,Fresno State,MWC,14,77,1013,13.2,8,1,0,0.0,0,78,1013,13.0,8
Michael Lawrence,North Texas,CUSA,14,62,819,13.2,4,0,0,,0,62,819,13.2,4
Deon Yelder,Western Kentucky,CUSA,12,52,688,13.2,7,2,15,7.5,1,54,703,13.0,8
Deondre Douglas,Troy,Sun Belt,12,48,628,13.1,4,3,43,14.3,1,51,671,13.2,5
Dillon Stoner,Oklahoma State,Big 12,12,44,576,13.1,6,0,0,,0,44,576,13.1,6
Travis Fulgham,Old Dominion,CUSA,11,30,394,13.1,1,0,0,,0,30,394,13.1,1
Deontay Burnett,USC,Pac-12,14,86,1114,13.0,9,2,-2,-1.0,0,88,1112,12.6,9
Vic Wharton,California,Pac-12,12,67,871,13.0,5,1,-5,-5.0,0,68,866,12.7,5
Juwan Johnson,Penn State,Big Ten,19,54,701,13.0,1,0,0,,0,54,701,13.0,1
Thomas Hennigan,Appalachian State,Sun Belt,12,45,585,13.0,7,0,0,,0,45,585,13.0,7
Brandon Johnson,Tennessee,SEC,10,37,482,13.0,1,0,0,,0,37,482,13.0,1
Ryan Smith,Miami (OH),MAC,10,35,454,13.0,4,0,0,,0,35,454,13.0,4
Jordan Nathan,Utah State,MWC,13,25,324,13.0,2,7,30,4.3,0,32,354,11.1,2
D.J. Moore,Maryland,Big Ten,12,80,1033,12.9,8,5,61,12.2,1,85,1094,12.9,9
Christian Kirk,Texas A&M,SEC,13,71,919,12.9,10,4,31,7.8,0,75,950,12.7,10
Darren Andrews,UCLA,Pac-12,9,60,773,12.9,10,4,49,12.3,0,64,822,12.8,10
Tabari Hines,Wake Forest,ACC,12,53,683,12.9,7,2,-6,-3.0,0,55,677,12.3,7
Doni Dowling,Virginia,ACC,13,50,647,12.9,5,0,0,,0,50,647,12.9,5
Jalen McCleskey,Oklahoma State,Big 12,12,50,645,12.9,5,0,0,,0,50,645,12.9,5
Blake Mack,Arkansas State,Sun Belt,12,48,618,12.9,7,0,0,,0,48,618,12.9,7
Jordan Veasy,California,Pac-12,12,38,491,12.9,6,0,0,,0,38,491,12.9,6
Caleb Wilson,UCLA,Pac-12,5,38,490,12.9,1,0,0,,0,38,490,12.9,1
Kerry Thomas,UTSA,CUSA,9,35,453,12.9,4,2,6,3.0,0,37,459,12.4,4
Pooh Stricklin,Baylor,Big 12,8,32,414,12.9,1,0,0,,0,32,414,12.9,1
Johnathan Boone,New Mexico State,Sun Belt,9,31,399,12.9,1,0,0,,0,31,399,12.9,1
Steve Ishmael,Syracuse,ACC,12,105,1347,12.8,7,0,0,,0,105,1347,12.8,7
Teddy Veal,Louisiana Tech,CUSA,13,74,950,12.8,7,4,6,1.5,0,78,956,12.3,7
A.J. Coney,Akron,MAC,14,43,551,12.8,3,0,0,,0,43,551,12.8,3
Harrison Bryant,Florida Atlantic,CUSA,10,32,408,12.8,5,0,0,,0,32,408,12.8,5
