Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Maurice Harris,WAS,26,wr,12,7,47,28,59.6%,304,10.9,0,42,6.5,2.3,25.3,1
Dontrelle Inman,IND,29,wr,9,4,39,28,71.8%,304,10.9,3,29,7.8,3.1,33.8,0
Wendell Smallwood,PHI,24,rb,16,6,35,28,80.0%,230,8.2,2,36,6.6,1.8,14.4,2
Tre'Quan Smith,NOR,22,wr,15,7,44,28,63.6%,427,15.3,5,62,9.7,1.9,28.5,0
Matt Breida,SFO,23,RB,14,13,31,27,87.1%,261,9.7,2,26,8.4,1.9,18.6,1
Robert Foster,BUF,24,wr,13,3,44,27,61.4%,541,20.0,3,75,12.3,2.1,41.6,0
Blake Jarwin,DAL,24,te,16,4,36,27,75.0%,307,11.4,3,39,8.5,1.7,19.2,0
Greg Olsen,CAR,33,TE,9,9,38,27,71.1%,291,10.8,4,23,7.7,3.0,32.3,0
Zach Pascal,IND,24,wr,16,4,46,27,58.7%,268,9.9,2,28,5.8,1.7,16.8,0
Dante Pettis,SFO,23,wr,12,7,45,27,60.0%,467,17.3,5,75,10.4,2.3,38.9,2
Ito Smith,ATL,23,,14,0,32,27,84.4%,152,5.6,0,20,4.8,1.9,10.9,1
Jamaal Williams,GNB,23,RB,16,8,41,27,65.9%,210,7.8,0,26,5.1,1.7,13.1,0
Jack Doyle,IND,28,te,6,6,33,26,78.8%,245,9.4,2,20,7.4,4.3,40.8,1
Kareem Hunt,KAN,23,RB,11,11,35,26,74.3%,378,14.5,7,67,10.8,2.4,34.4,0
Aaron Jones,GNB,24,RB,12,8,35,26,74.3%,206,7.9,1,24,5.9,2.2,17.2,1
David Moore,SEA,23,wr,16,7,53,26,49.1%,445,17.1,5,54,8.4,1.6,27.8,2
Jaylen Samuels,PIT,22,rb,14,3,29,26,89.7%,199,7.7,3,23,6.9,1.9,14.2,1
Tajae Sharpe,TEN,24,WR,16,13,47,26,55.3%,316,12.2,2,28,6.7,1.6,19.8,0
Geoff Swaim,DAL,25,TE,9,9,32,26,81.3%,242,9.3,1,43,7.6,2.9,26.9,0
Trent Taylor,SFO,24,,14,0,41,26,63.4%,215,8.3,1,23,5.2,1.9,15.4,1
Albert Wilson,MIA,26,wr,7,3,35,26,74.3%,391,15.0,4,75,11.2,3.7,55.9,0
