Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Brandon Williams,IND,30,TE/wr,14,10,17,13,76.5%,121,9.3,0,32,7.1,0.9,8.6,0
Phillip Dorsett,NWE,24,wr,15,2,18,12,66.7%,194,16.2,0,39,10.8,0.8,12.9,0
Alex Erickson,CIN,25,,16,0,16,12,75.0%,180,15.0,1,37,11.3,0.8,11.3,6
Anthony Fasano,MIA,33,te,16,6,16,12,75.0%,107,8.9,1,29,6.7,0.8,6.7,1
Richard Rodgers,GNB,25,te,15,1,19,12,63.2%,160,13.3,1,36,8.4,0.8,10.7,0
Ricky Seals-Jones,ARI,22,te,10,1,28,12,42.9%,201,16.8,3,29,7.2,1.2,20.1,0
Adam Shaheen,CHI,23,te,13,7,14,12,85.7%,127,10.6,3,31,9.1,0.9,9.8,0
Levine Toilolo,ATL,26,TE,15,12,14,12,85.7%,122,10.2,1,25,8.7,0.8,8.1,0
Nick Vannett,SEA,24,te,15,4,15,12,80.0%,124,10.3,1,21,8.3,0.8,8.3,0
Chris Conley,KAN,25,wr,5,5,16,11,68.8%,175,15.9,0,35,10.9,2.2,35.0,0
Dalvin Cook,MIN,22,rb,4,4,16,11,68.8%,90,8.2,0,36,5.6,2.8,22.5,1
Pharoh Cooper,LAR,22,wr,16,1,19,11,57.9%,84,7.6,0,26,4.4,0.7,5.3,3
Derrick Henry,TEN,23,rb,16,2,17,11,64.7%,136,12.4,1,66,8.0,0.7,8.5,1
Troy Niklas,ARI,25,TE/wr,15,11,23,11,47.8%,132,12.0,1,21,5.7,0.7,8.8,0
Adrian Peterson,2TM,32,,10,7,19,11,57.9%,70,6.4,0,13,3.7,1.1,7.0,3
Josh Reynolds,LAR,22,wr,16,1,24,11,45.8%,104,9.5,1,28,4.3,0.7,6.5,0
Mike Williams,LAC,23,wr,10,1,23,11,47.8%,95,8.6,0,20,4.1,1.1,9.5,0
Dwayne Allen,NWE,27,p/TE,16,8,22,10,45.5%,86,8.6,1,22,3.9,0.6,5.4,0
Damiere Byrd,CAR,24,wr,8,3,17,10,58.8%,105,10.5,2,31,6.2,1.3,13.1,0
Corey Clement,PHI,23,,16,0,15,10,66.7%,123,12.3,2,28,8.2,0.6,7.7,0
Michael Floyd,MIN,28,wr,11,1,17,10,58.8%,78,7.8,0,19,4.6,0.9,7.1,0
Tommylee Lewis,NOR,25,,15,0,14,10,71.4%,116,11.6,1,52,8.3,0.7,7.7,1
David Morgan,MIN,24,te,15,6,12,10,83.3%,95,9.5,1,23,7.9,0.7,6.3,0
Breshad Perriman,BAL,24,wr,11,3,35,10,28.6%,77,7.7,0,14,2.2,0.9,7.0,0
C.J. Uzomah,CIN,24,te,14,4,15,10,66.7%,92,9.2,1,21,6.1,0.7,6.6,0
Kerwynn Williams,ARI,26,rb,16,6,15,10,66.7%,93,9.3,0,25,6.2,0.6,5.8,0
Malcolm Brown,LAR,24,rb,11,1,11,9,81.8%,53,5.9,0,16,4.8,0.8,4.8,1
Chad Hansen,NYJ,22,wr,15,1,17,9,52.9%,94,10.4,0,24,5.5,0.6,6.3,0
Jeff Heuerman,DEN,25,te,14,6,21,9,42.9%,142,15.8,2,54,6.8,0.6,10.1,0
Johnny Holton,OAK,26,wr,16,1,18,9,50.0%,218,24.2,3,64,12.1,0.6,13.6,3
Aaron Jones,GNB,23,rb,12,4,18,9,50.0%,22,2.4,0,9,1.2,0.8,1.8,0
Doug Martin,TAM,28,RB,11,8,18,9,50.0%,84,9.3,0,17,4.7,0.8,7.6,1
Thomas Rawls,SEA,24,rb,12,3,13,9,69.2%,94,10.4,0,22,7.2,0.8,7.8,1
Jacquizz Rodgers,TAM,27,rb,16,4,11,9,81.8%,74,8.2,0,15,6.7,0.6,4.6,0
Robert Turbin,IND,28,rb,6,1,11,9,81.8%,56,6.2,0,16,5.1,1.5,9.3,0
Clive Walford,OAK,26,,13,0,13,9,69.2%,80,8.9,0,26,6.2,0.7,6.2,0
Kasen Williams,CLE,25,wr,7,2,18,9,50.0%,84,9.3,0,14,4.7,1.3,12.0,0
Jerell Adams,NYG,25,wr,16,1,11,8,72.7%,92,11.5,0,38,8.4,0.5,5.8,0
Brenton Bersin,CAR,27,wr,8,1,14,8,57.1%,128,16.0,0,27,9.1,1.0,16.0,0
LeGarrette Blount,PHI,31,RB,16,11,8,8,100.0%,50,6.3,1,20,6.3,0.5,3.1,1
Derek Carrier,LAR,27,te/wr,14,3,11,8,72.7%,71,8.9,0,17,6.5,0.6,5.1,0
Amara Darboh,SEA,23,,16,0,13,8,61.5%,71,8.9,0,16,5.5,0.5,4.4,0
Tyler Ervin,HOU,24,,4,0,11,8,72.7%,38,4.8,0,7,3.5,2.0,9.5,0
Tre McBride,CHI,25,wr,8,3,15,8,53.3%,144,18.0,0,45,9.6,1.0,18.0,0
Louis Murphy,SFO,30,wr,7,7,17,8,47.1%,121,15.1,1,40,7.1,1.1,17.3,0
Paul Perkins,NYG,23,rb,11,4,10,8,80.0%,46,5.8,0,11,4.6,0.7,4.2,0
Travis Rudolph,NYG,22,wr,7,1,21,8,38.1%,101,12.6,0,29,4.8,1.1,14.4,0
Lee Smith,OAK,30,TE/wr,16,9,11,8,72.7%,76,9.5,0,21,6.9,0.5,4.8,0
Willie Snead,NOR,25,wr,11,7,16,8,50.0%,92,11.5,0,26,5.8,0.7,8.4,1
Jonathan Stewart,CAR,30,RB,15,10,15,8,53.3%,52,6.5,1,21,3.5,0.5,3.5,3
Eric Tomlinson,NYJ,25,TE/wr,14,12,11,8,72.7%,121,15.1,1,34,11.0,0.6,8.6,0
Austin Traylor,DEN,24,te,7,3,13,8,61.5%,100,12.5,0,34,7.7,1.1,14.3,0
Alfred Blue,HOU,26,,11,0,9,7,77.8%,54,7.7,0,14,6.0,0.6,4.9,0
Leonte Carroo,MIA,23,,14,0,12,7,58.3%,69,9.9,0,21,5.8,0.5,4.9,0
Chris Carson,SEA,23,rb,4,3,8,7,87.5%,59,8.4,1,10,7.4,1.8,14.8,0
Patrick DiMarco,BUF,28,FB/rb,16,9,10,7,70.0%,28,4.0,0,9,2.8,0.4,1.8,0
C.J. Ham,MIN,24,fb,16,1,8,7,87.5%,68,9.7,0,12,8.5,0.4,4.3,0
Alfred Morris,DAL,29,rb,14,5,9,7,77.8%,45,6.4,0,13,5.0,0.5,3.2,0
Aaron Ripkowski,GNB,25,fb,16,2,10,7,70.0%,39,5.6,0,12,3.9,0.4,2.4,0
Darren Sproles,PHI,34,,3,0,12,7,58.3%,73,10.4,0,16,6.1,2.3,24.3,1
Logan Thomas,BUF,26,te,12,2,9,7,77.8%,67,9.6,1,22,7.4,0.6,5.6,0
Ross Travis,2TM,24,,15,3,17,7,41.2%,76,10.9,0,20,4.5,0.5,5.1,1
Tommy Bohanon,JAX,27,FB,16,10,11,6,54.5%,43,7.2,1,14,3.9,0.4,2.7,0
Kaelin Clay,2TM,25,,13,2,19,6,31.6%,85,14.2,0,28,4.5,0.5,6.5,3
Sammie Coates,CLE,24,wr,12,1,11,6,54.5%,70,11.7,0,38,6.4,0.5,5.8,0
James Develin,NWE,29,fb/rb/te,16,7,10,6,60.0%,38,6.3,0,10,3.8,0.4,2.4,0
D'Onta Foreman,HOU,21,rb,10,1,8,6,75.0%,83,13.8,0,34,10.4,0.6,8.3,2
Michael Hoomanawanui,NOR,29,TE,14,10,10,6,60.0%,52,8.7,1,25,5.2,0.4,3.7,0
David Johnson,ARI,26,rb,1,1,9,6,66.7%,67,11.2,0,24,7.4,6.0,67.0,2
Eddie Lacy,SEA,27,rb,9,3,6,6,100.0%,47,7.8,0,14,7.8,0.7,5.2,0
Josh Malone,CIN,21,wr,11,7,17,6,35.3%,63,10.5,1,25,3.7,0.5,5.7,0
Byron Marshall,WAS,23,,4,0,8,6,75.0%,36,6.0,0,12,4.5,1.5,9.0,0
Jaydon Mickens,JAX,23,,10,0,11,6,54.5%,77,12.8,2,41,7.0,0.6,7.7,4
Jamize Olawale,OAK,28,,12,0,7,6,85.7%,33,5.5,0,9,4.7,0.5,2.8,1
Branden Oliver,LAC,26,,8,0,11,6,54.5%,26,4.3,0,11,2.4,0.8,3.3,0
C.J. Prosise,SEA,23,,5,0,11,6,54.5%,87,14.5,0,46,7.9,1.2,17.4,0
Brian Quick,WAS,28,wr,11,1,8,6,75.0%,76,12.7,0,31,9.5,0.5,6.9,0
Anthony Sherman,KAN,29,fb,16,3,8,6,75.0%,47,7.8,0,11,5.9,0.4,2.9,0
Neal Sterling,NYJ,25,fb,11,1,10,6,60.0%,82,13.7,0,35,8.2,0.5,7.5,0
ArDarius Stewart,NYJ,24,wr,15,2,13,6,46.2%,82,13.7,0,46,6.3,0.4,5.5,0
Ryan Switzer,DAL,23,,16,0,7,6,85.7%,41,6.8,0,12,5.9,0.4,2.6,1
Brandon Tate,BUF,30,wr,13,1,14,6,42.9%,81,13.5,1,24,5.8,0.5,6.2,1
Lawrence Thomas,NYJ,24,fb/rb,14,4,7,6,85.7%,43,7.2,0,15,6.1,0.4,3.1,0
Kenjon Barner,PHI,27,rb,13,1,8,5,62.5%,56,11.2,0,22,7.0,0.4,4.3,3
Alan Cross,TAM,24,fb/te,8,4,6,5,83.3%,58,11.6,0,23,9.7,0.6,7.3,0
Trevor Davis,GNB,24,,16,0,7,5,71.4%,70,14.0,0,29,10.0,0.3,4.4,0
Brittan Golden,ARI,29,,13,0,9,5,55.6%,70,14.0,0,29,7.8,0.4,5.4,0
Xavier Grimble,PIT,25,te/wr,15,2,9,5,55.6%,32,6.4,1,12,3.6,0.3,2.1,0
Chris Johnson,ARI,32,rb,4,3,6,5,83.3%,43,8.6,0,15,7.2,1.3,10.8,0
Marcus Johnson,PHI,23,,10,0,8,5,62.5%,45,9.0,0,16,5.6,0.5,4.5,1
Ben Koyack,JAX,24,te,16,3,7,5,71.4%,38,7.6,0,21,5.4,0.3,2.4,0
Freddie Martino,TAM,26,,8,0,6,5,83.3%,96,19.2,0,39,16.0,0.6,12.0,0
Tanner McEvoy,SEA,24,,15,0,9,5,55.6%,113,22.6,0,53,12.6,0.3,7.5,1
Bobby Rainey,BAL,30,,4,0,7,5,71.4%,18,3.6,0,12,2.6,1.3,4.5,0
Hunter Sharp,2TM,23,,3,1,9,5,55.6%,54,10.8,1,21,6.0,1.7,18.0,0
Keith Smith,DAL,25,fb,16,3,5,5,100.0%,26,5.2,0,12,5.2,0.3,1.6,0
Mike Thomas,LAR,23,wr,8,1,7,5,71.4%,93,18.6,0,50,13.3,0.6,11.6,1
Chris Thompson,HOU,23,,13,0,6,5,83.3%,84,16.8,0,32,14.0,0.4,6.5,3
Bryce Treggs,CLE,23,wr,6,1,18,5,27.8%,79,15.8,0,20,4.4,0.8,13.2,1
Fozzy Whittaker,CAR,28,,12,0,6,5,83.3%,47,9.4,1,28,7.8,0.4,3.9,0
Noah Brown,DAL,21,wr,13,1,9,4,44.4%,33,8.3,0,14,3.7,0.3,2.5,0
Michael Clark,GNB,22,,2,0,14,4,28.6%,41,10.3,0,19,2.9,2.0,20.5,0
Matthew Dayes,CLE,23,,16,0,5,4,80.0%,29,7.3,0,15,5.8,0.3,1.8,0
Tyler Eifert,CIN,27,,2,0,5,4,80.0%,46,11.5,0,22,9.2,2.0,23.0,0
James Hanna,DAL,28,TE,16,8,9,4,44.4%,88,22.0,1,31,9.8,0.3,5.5,0
Maurice Harris,WAS,25,,6,0,6,4,66.7%,62,15.5,1,36,10.3,0.7,10.3,0
Jeremy Hill,CIN,25,rb,7,7,4,4,100.0%,16,4.0,0,10,4.0,0.6,2.3,1
Jacob Hollister,NWE,24,te,15,1,11,4,36.4%,42,10.5,0,19,3.8,0.3,2.8,0
Akeem Hunt,KAN,24,,15,0,7,4,57.1%,31,7.8,0,20,4.4,0.3,2.1,0
Justin Hunter,PIT,26,wr,7,1,10,4,40.0%,23,5.8,1,7,2.3,0.6,3.3,0
Andy Janovich,DEN,24,fb,16,4,6,4,66.7%,35,8.8,0,16,5.8,0.3,2.2,0
Robert Kelley,WAS,25,rb,7,7,7,4,57.1%,18,4.5,0,9,2.6,0.6,2.6,0
Sean McGrath,LAC,30,te,15,6,4,4,100.0%,46,11.5,0,23,11.5,0.3,3.1,0
Isaiah McKenzie,DEN,22,,11,0,13,4,30.8%,29,7.3,0,14,2.2,0.4,2.6,6
Elijhaa Penny,ARI,24,,16,0,6,4,66.7%,38,9.5,0,18,6.3,0.3,2.4,0
Jay Prosch,HOU,25,fb,16,5,4,4,100.0%,31,7.8,0,18,7.8,0.3,1.9,0
Patrick Ricard,BAL,23,,16,0,4,4,100.0%,12,3.0,2,6,3.0,0.3,0.8,0
Michael Roberts,DET,23,te,15,3,7,4,57.1%,46,11.5,0,23,6.6,0.3,3.1,0
Luke Stocker,2TM,29,,12,5,5,4,80.0%,30,7.5,1,12,6.0,0.3,2.5,0
Phillip Supernaw,TEN,27,te,16,3,6,4,66.7%,39,9.8,1,20,6.5,0.3,2.4,0
Will Tye,NYJ,26,te,3,1,6,4,66.7%,38,9.5,0,21,6.3,1.3,12.7,0
Griff Whalen,BAL,27,,2,0,6,4,66.7%,23,5.8,0,9,3.8,2.0,11.5,0
Jared Abbrederis,DET,27,,7,0,7,3,42.9%,44,14.7,0,25,6.3,0.4,6.3,0
Blake Bell,MIN,26,te,13,3,4,3,75.0%,19,6.3,0,12,4.8,0.2,1.5,0
Quan Bray,IND,24,,9,0,4,3,75.0%,39,13.0,0,22,9.8,0.3,4.3,1
Darrell Daniels,IND,23,te,12,3,13,3,23.1%,26,8.7,0,13,2.0,0.3,2.2,0
Josh Ferguson,IND,24,,10,0,4,3,75.0%,16,5.3,0,8,4.0,0.3,1.6,0
Tanner Gentry,CHI,23,wr,4,3,6,3,50.0%,35,11.7,0,15,5.8,0.8,8.8,0
Corey Grant,JAX,26,,16,0,4,3,75.0%,41,13.7,0,28,10.3,0.2,2.6,1
Chris Matthews,BAL,28,,6,0,6,3,50.0%,25,8.3,0,12,4.2,0.5,4.2,0
Devante Mays,GNB,23,,8,0,3,3,100.0%,0,0.0,0,1,0.0,0.4,0.0,2
De'Veon Smith,MIA,23,,5,0,3,3,100.0%,27,9.0,0,13,9.0,0.6,5.4,0
Jaelen Strong,2TM,23,,2,0,4,3,75.0%,38,12.7,1,19,9.5,1.5,19.0,0
Randall Telfer,CLE,25,TE,16,14,4,3,75.0%,36,12.0,0,20,9.0,0.2,2.3,0
Danny Vitale,CLE,24,fb,15,6,5,3,60.0%,19,6.3,0,11,3.8,0.2,1.3,0
Terron Ward,ATL,25,,14,0,3,3,100.0%,14,4.7,0,11,4.7,0.2,1.0,1
Markus Wheaton,CHI,26,,11,0,17,3,17.6%,51,17.0,0,22,3.0,0.3,4.6,0
Chad Williams,ARI,23,wr,6,1,7,3,42.9%,31,10.3,0,15,4.4,0.5,5.2,0
Nick Williams,ATL,27,,1,0,4,3,75.0%,30,10.0,0,14,7.5,3.0,30.0,0
Jamal Agnew,DET,22,,13,0,2,2,100.0%,18,9.0,0,12,9.0,0.2,1.4,3
Antony Auclair,TAM,24,te/wr,8,3,2,2,100.0%,25,12.5,0,14,12.5,0.3,3.1,0
Michael Burton,CHI,25,fb,16,3,4,2,50.0%,8,4.0,0,8,2.0,0.1,0.5,0
Emanuel Byrd,GNB,23,,1,0,2,2,100.0%,31,15.5,0,29,15.5,2.0,31.0,0
Orson Charles,KAN,26,,5,0,2,2,100.0%,53,26.5,0,35,26.5,0.4,10.6,0
Jehu Chesson,KAN,24,wr,12,1,4,2,50.0%,18,9.0,0,10,4.5,0.2,1.5,0
Derrick Coleman,ATL,27,fb,16,7,7,2,28.6%,20,10.0,0,11,2.9,0.1,1.3,0
Jeff Cumberland,LAC,30,te,7,3,3,2,66.7%,2,1.0,0,2,0.7,0.3,0.3,0
Shelton Gibson,PHI,22,,5,0,3,2,66.7%,11,5.5,0,6,3.7,0.4,2.2,0
Tion Green,DET,24,,5,0,2,2,100.0%,14,7.0,0,9,7.0,0.4,2.8,0
Marvin Hall,ATL,24,,8,0,9,2,22.2%,60,30.0,1,40,6.7,0.3,7.5,0
De'Angelo Henderson,DEN,25,,5,0,2,2,100.0%,36,18.0,1,29,18.0,0.4,7.2,0
Ryan Hewitt,CIN,26,rb,13,4,2,2,100.0%,22,11.0,0,16,11.0,0.2,1.7,0
Darrius Heyward-Bey,PIT,30,,16,0,3,2,66.7%,47,23.5,0,44,15.7,0.1,2.9,0
Cole Hikutini,SFO,23,,4,0,3,2,66.7%,15,7.5,0,10,5.0,0.5,3.8,0
Brian Hill,2TM,22,,7,0,2,2,100.0%,36,18.0,0,34,18.0,0.3,5.1,0
Jeff Janis,GNB,26,,16,0,5,2,40.0%,12,6.0,0,12,2.4,0.1,0.8,0
Zach Line,NOR,27,fb,12,4,5,2,40.0%,8,4.0,1,5,1.6,0.2,0.7,0
Tre Madden,SEA,24,fb,8,3,2,2,100.0%,65,32.5,0,66,32.5,0.3,8.1,0
Chris Manhertz,CAR,25,te,16,4,4,2,50.0%,17,8.5,0,11,4.3,0.1,1.1,0
Marcus Murphy,BUF,26,,1,0,2,2,100.0%,7,3.5,0,5,3.5,2.0,7.0,0
Jojo Natson,NYJ,23,,7,0,5,2,40.0%,18,9.0,0,19,3.6,0.3,2.6,1
Roosevelt Nix,PIT,25,fb/rb,16,4,3,2,66.7%,6,3.0,1,5,2.0,0.1,0.4,0
Darius Powe,NYG,23,wr,1,1,4,2,50.0%,13,6.5,0,8,3.3,2.0,13.0,0
Bernard Reedy,2TM,26,,11,0,2,2,100.0%,21,10.5,0,15,10.5,0.2,1.9,1
Jeremy Sprinkle,WAS,23,te/wr,11,5,3,2,66.7%,13,6.5,1,7,4.3,0.2,1.2,0
Geoff Swaim,DAL,24,te,15,2,2,2,100.0%,25,12.5,0,18,12.5,0.1,1.7,0
Fitzgerald Toussaint,PIT,27,,6,0,3,2,66.7%,9,4.5,0,7,3.0,0.3,1.5,0
Dwayne Washington,DET,23,,5,0,2,2,100.0%,14,7.0,0,10,7.0,0.4,2.8,0
Derek Watt,LAC,25,fb,16,4,3,2,66.7%,35,17.5,0,23,11.7,0.1,2.2,0
Terrance West,BAL,26,rb,5,4,4,2,50.0%,23,11.5,0,15,5.8,0.4,4.6,1
Kevin White,CHI,25,wr,1,1,4,2,50.0%,6,3.0,0,6,1.5,2.0,6.0,0
Cameron Artis-Payne,CAR,27,,13,0,1,1,100.0%,2,2.0,0,2,2.0,0.1,0.2,0
Nick Bellore,DET,28,mlb,13,2,1,1,100.0%,1,1.0,1,1,1.0,0.1,0.1,0
Arrelious Benn,JAX,29,,9,0,2,1,50.0%,12,12.0,0,12,6.0,0.1,1.3,0
Brandon Bolden,NWE,27,,16,0,4,1,25.0%,7,7.0,0,7,1.8,0.1,0.4,0
Mack Brown,2TM,26,,4,0,1,1,100.0%,11,11.0,0,11,11.0,0.3,2.8,0
Harry Douglas,TEN,33,,2,0,3,1,33.3%,8,8.0,0,8,2.7,0.5,4.0,0
Lance Dunbar,LAR,27,,4,0,3,1,33.3%,1,1.0,0,1,0.3,0.3,0.3,0
Jimmy Garoppolo,SFO,26,qb,6,5,1,1,100.0%,-6,-6.0,0,-6,-6.0,0.2,-1.0,1
Mike Gillislee,NWE,27,rb,9,2,1,1,100.0%,15,15.0,0,15,15.0,0.1,1.7,1
MarQueis Gray,MIA,28,,16,0,3,1,33.3%,10,10.0,0,10,3.3,0.1,0.6,0
Garrett Griffin,NOR,23,,3,0,1,1,100.0%,4,4.0,0,4,4.0,0.3,1.3,0
Cobi Hamilton,HOU,27,wr,3,1,6,1,16.7%,8,8.0,0,8,1.3,0.3,2.7,0
Matt Hazel,IND,25,,4,0,1,1,100.0%,1,1.0,0,1,1.0,0.3,0.3,0
Brett Hundley,GNB,24,QB,11,9,1,1,100.0%,10,10.0,0,10,10.0,0.1,0.9,4
Taiwan Jones,BUF,29,,8,0,2,1,50.0%,11,11.0,0,11,5.5,0.1,1.4,0
Joe Kerridge,GNB,25,,4,0,1,1,100.0%,3,3.0,0,3,3.0,0.3,0.8,0
Jordan Leslie,CLE,26,,2,0,1,1,100.0%,26,26.0,0,26,26.0,0.5,13.0,0
Ryan Malleck,HOU,24,,2,0,1,1,100.0%,3,3.0,0,3,3.0,0.5,1.5,0
Max McCaffrey,JAX,23,,5,0,1,1,100.0%,4,4.0,0,4,4.0,0.2,0.8,0
Brian Mihalik,DET,25,t,15,2,1,1,100.0%,-4,-4.0,0,-4,-4.0,0.1,-0.3,0
Ifeanyi Momah,ARI,28,te,9,2,2,1,50.0%,46,46.0,0,46,23.0,0.1,5.1,0
Charone Peake,NYJ,25,,3,0,1,1,100.0%,3,3.0,0,3,3.0,0.3,1.0,0
Senorise Perry,MIA,26,,16,0,1,1,100.0%,3,3.0,0,3,3.0,0.1,0.2,0
Larry Pinkard,JAX,25,,4,0,1,1,100.0%,5,5.0,0,5,5.0,0.3,1.3,0
Kalif Raymond,2TM,23,,8,0,1,1,100.0%,12,12.0,0,12,12.0,0.1,1.5,5
Andre Roberts,ATL,29,,16,0,4,1,25.0%,12,12.0,0,12,3.0,0.1,0.8,4
Allen Robinson,JAX,24,wr,1,1,1,1,100.0%,17,17.0,0,17,17.0,1.0,17.0,0
Eric Weems,TEN,32,,16,0,2,1,50.0%,5,5.0,0,5,2.5,0.1,0.3,0
Leonard Wester,TAM,24,,8,0,1,1,100.0%,2,2.0,1,2,2.0,0.1,0.3,0
DeAndrew White,HOU,26,wr,2,1,7,1,14.3%,24,24.0,0,24,3.4,0.5,12.0,1
Marcus Williams,2TM,26,,15,0,1,1,100.0%,31,31.0,0,31,31.0,0.1,2.1,0
Jesus Wilson,TAM,22,wr,3,1,1,1,100.0%,18,18.0,1,18,18.0,0.3,6.0,0
Kevin Zeitler,CLE,27,RG,16,16,1,1,100.0%,-4,-4.0,0,-4,-4.0,0.1,-0.3,0
