Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
361,Trevon Wesco,NYJ,TE,4,29.45,
362,Paul Perkins,NYG,RB,11,34.67,
363,James Develin,NE,RB,10,34.65,
364,Maxx Williams,ARI,TE,12,29.03,
365,Kevin White,ARI,WR,12,34.73,
366,DeAndre Washington,OAK,RB,6,33.12,
367,Laquon Treadwell,MIN,WR,12,33.43,
368,John Kelly,LAR,RB,9,32.33,
369,Kalen Ballage,MIA,RB,5,32.11,
370,Luke Willson,OAK,TE,6,26.85,
371,Austin Seferian-Jenkins,FA,TE,,26.49,
372,James O'Shaughnessy,JAC,TE,10,26.37,
373,Anthony Sherman,KC,RB,12,30.81,
374,Logan Thomas,DET,TE,5,25.99,
375,Allen Hurns,FA,WR,,31.25,
376,Nick Boyle,BAL,TE,8,25.91,
377,Daniel Brown,NYJ,TE,4,25.79,
378,Xavier Grimble,PIT,TE,7,25.4,
379,Zach Line,NO,RB,9,29.83,
380,Dalton Schultz,DAL,TE,8,25.19,
381,Ronald Jones,TB,RB,7,29.15,
382,Mack Hollins,PHI,WR,10,29.41,Groin | Questionable for Week 1
383,Elijhaa Penny,NYG,RB,11,28.48,
384,Bruce Ellington,FA,WR,,28.94,
385,Mike Gesicki,MIA,TE,5,23.61,
386,Corey Grant,FA,RB,,27.66,
387,Jordan Taylor,MIN,WR,12,28.01,
388,Eric Tomlinson,NYJ,TE,4,22.94,
389,C.J. Prosise,SEA,RB,11,27.06,Hamstring | Questionable for Week 1
390,Logan Paulsen,ATL,TE,9,22.09,
391,Andre Roberts,BUF,WR,6,26.2,
392,Jordan Leggett,TB,TE,7,21.59,
393,Jeremy Hill,FA,RB,,25.41,
394,Bobo Wilson,TB,WR,7,25.27,Undisclosed | Questionable for Week 1
395,Gehrig Dieter,KC,WR,12,24.78,
396,Brandon Zylstra,MIN,WR,12,24.29,Undisclosed | Questionable for Week 1
397,Ryan Switzer,PIT,WR,7,24.08,
398,Andy Janovich,DEN,RB,10,23.06,
399,Alex Erickson,CIN,WR,9,22.64,
400,Chad Beebe,MIN,WR,12,22.41,
401,Blake Bell,KC,TE,12,18.03,
402,Kenjon Barner,ATL,RB,9,21.24,
403,Russell Gage,ATL,WR,9,21.63,
404,Dwayne Harris,OAK,WR,6,21.51,
405,J.D. McKissic,SEA,RB,11,19.46,
406,Patrick DiMarco,BUF,RB,6,18.47,
407,Darius Jackson,DAL,RB,8,18.02,
408,Jamize Olawale,DAL,RB,8,17.25,
409,Kenneth Farrow,MIA,RB,5,17.18,
410,Benny Cunningham,JAC,RB,10,16.79,
411,Mark Walton,MIA,RB,5,16.16,
412,Auden Tate,CIN,WR,9,12.07,
413,T.J. Logan,ARI,RB,12,11.64,
414,Mike Boone,MIN,RB,12,11.09,
415,Noah Brown,DAL,WR,8,11.25,Knee | Questionable for Week 1
416,David Fluellen,TEN,RB,11,9.69,
417,J'Mon Moore,GB,WR,11,8.48,
418,Marcus Kemp,KC,WR,12,7.88,
419,Justin Watson,TB,WR,7,5.63,
420,Roc Thomas,FA,RB,,5.5,
421,Dontrell Hilliard,CLE,RB,7,4.72,
422,Benny Snell Jr.,PIT,RB,7,0,
423,Boston Scott,PHI,RB,10,0,
424,Braxton Berrios,NE,WR,10,0,
425,Bruce Anderson,TB,RB,7,0,
426,Byron Pringle,KC,WR,12,0,
